Legal Form,Organisational Structure VES,Organisational Structure ID,Ownership Classification,Base Membership Type VES,Base Membership Type ID
Limited Partnership,Cooperative,OS115,Unspecified,Unspecified,
LLP,Cooperative,OS115,Unspecified,Unspecified,
Scottish Charitable Incorporated Organisation,Company (Other),OS50,Unspecified,Unspecified,
Society,Community Benefit Society / Industrial and Provident Society (IPS),OS130,Unspecified,Unspecified,
Unincorporated,Unincorporated,OS160,Unspecified,Unspecified,
Unspecified,Unspecified,,Unspecified,Unspecified,
Charitable Incorporated Organisation,Charity,OS40,Workers,Workers,BMT30
Community Interest Company,Community Interest Company (CIC),OS120,Workers,Workers,BMT30
Company,Company (Other),OS50,Workers,Workers,BMT30
Limited Partnership,Cooperative,OS115,Workers,Workers,BMT30
LLP,Cooperative,OS115,Workers,Workers,BMT30
Scottish Charitable Incorporated Organisation,Charity,OS40,Workers,Workers,BMT30
Society,Community Benefit Society / Industrial and Provident Society (IPS),OS130,Workers,Workers,BMT30
Unincorporated,Unincorporated,OS160,Workers,Workers,BMT30
Unspecified,Unspecified,,Workers,Workers,BMT30
