Activity ID,DotCoop Sector
ICA10,Z7_gE:12
ICA110,Z7_gE:13
ICA240,Z7_gE:14
,Z7_gE:15
ICA140,Z7_gE:16
ICA140,Z7_gE:17
ICA270,Z7_gE:18
ICA280,Z7_gE:19
ICA140,Z7_gE:20
ICA50,Z7_gE:21
,Z7_gE:22
ICA170,Z7_gE:23
ICA130,Z7_gE:24
ICA210,Z7_gE:25
ICA80,Z7_gE:26
ICA150,Z7_gE:27
ICA260,Z7_gE:28
ICA280,Z7_gE:29
ICA220,Z7_gE:30
ICA230,Z7_gE:31
,Z7_gE:32
ICA280,Z7_gE:33
ICA280,Z7_gE:39
ICA200,Z7_gE:40
